Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
output/ibol.species.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012117E7,5227.0,5228.0,5198.0,30.0,0.0,99.42616679418515,0.5738332058148432,0.0,0.9942468263364326,2.1240686672917522E-4,0.0071624035987102016,9.155194195465244,21.03097628206291,48602.29540788103,1984.847538572425,46617.447869308606,9.296536994621468,0.3796571420375717,8.916879852583895,47680.87540529536,9.120289863292914,507757.0541950447,1.0,3.0,0.0,0.0,1.0,5225.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942616679418516,8.656326452626213E-6,0.9999913436735475,0.005738332058148432,0.9942763221087426,0.9942616679418516,0.9937558840514573,0.9939988198765971,0.9999007320357031,0.9977169268999765,0.9912447587771779,0.9942616679418516,17.063,2.35,11.54901,1.9355719999999998,1.3181992E8,2.24425407E8,2.244683E8,99.98087222647284,0.24812725752211556,?
output/ibol.species.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012117E7,5228.0,5227.0,5199.0,28.0,0.0,99.46431987755884,0.5356801224411708,0.0,0.99462935677634,2.0614670076883832E-4,0.006939462474068141,8.885367827708299,20.376314865378777,48604.94845442403,863.9825675315963,47740.96588689244,9.298823121183094,0.16529224555798666,9.133530875625107,47740.965886892925,9.133530875625201,508519.7177556204,1.0,4.0,0.0,0.0,1.0,5223.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9946431987755883,8.622636556759433E-6,0.9999913773634432,0.005356801224411708,0.9944301799332109,0.9946431987755883,0.9939580397066325,0.9942361990419648,0.99999651717767,0.9975406284682258,0.9918758166946681,0.9946431987755883,14.829,1.923,10.940509,1.899629,1.31875022E8,2.244683E8,2.24425407E8,100.0,0.2445931456080101,?
output/res50k.family.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012118E7,6596.0,6596.0,4808.0,1788.0,0.0,72.89266221952698,27.107337780473014,0.0,0.7173281550639161,0.003995084314758969,0.043839965225115574,43.25884299975389,64.54550816360108,40198.61366283672,783152.0749970163,-742953.4613341796,6.094392611103202,118.73136370482358,-112.63697109372038,28817.93673418951,4.369001930592709,466343.92900597415,0.1111111111111111,1.0,1.518141794443601E-4,1.0,0.9998481858205557,6586.0,0.8888888888888888,8.0,0.5,0.1111111111111111,0.1818181818181818,0.2352552442941236,0.6057554442251573,0.1218341961018682,0.7289266221952698,0.010068877493232644,0.9899311225067668,0.2710733778047301,0.7184480590420864,0.7289266221952698,0.7088971440923296,0.7089348946841803,0.9379320531811639,0.7509276559783308,0.5362126684398729,0.7289266221952698,21.339,1.536,15.635136000000001,1.5098699999999998,7.385374E7,2.87180864E8,2.87180864E8,88.1746513038205,2.0184046587609066,?
output/res50k.family.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012119E7,6596.0,6596.0,4869.0,1727.0,0.0,73.81746513038205,26.18253486961795,0.0,0.7272301761751927,0.003994863806172402,0.04347402563624097,43.25645532891256,64.0072218943704,40186.329783725145,718871.0548761949,-678684.7250924697,6.092530288618124,108.98590886540251,-102.89337857678437,29206.307894700647,4.427881730548916,472480.5381415261,0.5555555555555556,5.0,9.108850766661606E-4,6.0,0.9990891149233339,6581.0,0.4444444444444444,4.0,0.45454545454545453,0.5555555555555556,0.5,0.5017711628374715,0.9417033550933657,0.3763977780175795,0.7381746513038205,0.00899688860327222,0.9910031113967273,0.2618253486961795,0.7292728969979321,0.7381746513038205,0.7215272547172114,0.7208532509776193,0.9426876331947933,0.754701891267297,0.553264697596373,0.7381746513038205,20.288,1.536,15.169165000000001,1.513883,7.602755E7,2.87180864E8,2.87180864E8,88.91752577319588,2.0511924002078055,?
output/res50k.genus.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012119E7,4610.0,4610.0,3424.0,1186.0,0.0,74.27331887201736,25.726681127982648,0.0,0.7410471886754644,0.0017338004250157567,0.027944123829768925,45.150966250098804,63.784809631023315,38352.915133052666,557404.5058421737,-519051.590709121,8.319504367256544,120.91204031283594,-112.5925359455794,29353.981808985416,6.367458093055405,348213.39604146034,0.9285714285714286,13.0,4.351610095735422E-4,2.0,0.9995648389904265,4594.0,0.07142857142857142,1.0,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8967623859830148,0.9999844585353723,0.9910714285714286,0.7427331887201736,0.001522784042189522,0.998477215957811,0.2572668112798265,0.7477506916258021,0.7427331887201736,0.7277710954686482,0.7350521454080037,0.9420272623583951,0.7723665107207462,0.6431489206072672,0.7427331887201736,15.558,1.64,8.690359,1.40075,1.41221772E8,2.00484707E8,2.00484707E8,87.87418655097613,1.0811648338763755,?
output/res50k.genus.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012119E7,4610.0,4610.0,3464.0,1146.0,0.0,75.1409978308026,24.859002169197396,0.0,0.7497455325134794,0.0016916595201286935,0.02746935452087343,44.05354895405253,62.700650738525574,38358.5969437122,512259.3432385847,-473900.7462948725,8.320736864145813,111.11916339231772,-102.7984265281719,29683.128971624454,6.4388566098968445,352164.7937196533,1.0,14.0,6.527415143603133E-4,3.0,0.9993472584856397,4593.0,0.0,0.0,0.8235294117647058,1.0,0.9032258064516129,0.9071889879894655,1.0,1.0,0.751409978308026,0.001609818452216846,0.9983901815477829,0.24859002169197397,0.7530215038389075,0.751409978308026,0.7336167886903054,0.7413096973636083,0.9467706229719965,0.7820677335852667,0.6583413675477061,0.751409978308026,13.313,1.386,7.50073,1.373073,1.41930708E8,2.00484707E8,2.00484707E8,88.74186550976138,1.045276761111947,?
output/ibol.species.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01412012124E7,5227.0,5228.0,4013.0,1215.0,0.0,76.75975516449886,23.240244835501148,0.0,0.7668433921140385,5.377278119475212E-4,0.022355680104809778,23.177228770852967,65.64301656196898,48602.29540788103,48813.66692742754,-211.371519546512,9.296536994621468,9.336967660181244,-0.040430665559776584,37097.96006684129,7.0960137847821905,395058.83145116834,1.0,3.0,0.0,0.0,1.0,5225.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7675975516449886,8.133459752883951E-4,0.9991866540247116,0.23240244835501148,0.6706009186983707,0.7675975516449886,0.697442438773234,0.7074400776036648,0.9982403065759177,0.952453838697158,0.5402207802895889,0.7675975516449886,11.291,239.273,10.653375,235.372891,2.6179187E7,2.24425407E8,2.244683E8,79.13159908186687,0.12962402804219816,?
output/ibol.species.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01412012128E7,5228.0,5227.0,3942.0,1285.0,0.0,75.41610866653912,24.583891333460876,0.0,0.7533557189920975,5.753951843518951E-4,0.023178306551987864,24.80077459494054,68.05836534377937,48604.94845442403,52662.50514637021,-4057.556691946178,9.298823121183094,10.075091858880851,-0.7762687376977574,36000.010567989266,6.887317881765691,383459.2550264946,0.0,0.0,0.0,0.0,1.0,5223.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7541610866653913,8.604124150513944E-4,0.9991395875849485,0.24583891333460875,0.6450817974870007,0.7541610866653913,0.6789124414113493,0.6884559021547111,0.9982732674942129,0.9502898665443216,0.5171112584849081,0.7541610866653913,10.937,242.43,10.795682000000001,235.211633,2.612869E7,2.244683E8,2.24425407E8,76.94662330208533,0.12989353135107198,?
output/res50k.family.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0141201213E7,6596.0,6596.0,3898.0,2698.0,0.0,59.096422073984236,40.903577926015764,0.0,0.5709401739075423,0.003988163613482948,0.0573765940205867,43.18390552500733,84.47546431067319,40198.61366283672,90506.06525687051,-50307.451594033795,6.094392611103202,13.721356163867574,-7.626963552764372,20744.42642509391,3.1450009740894345,335695.00180685736,0.0,0.0,0.0,0.0,1.0,6587.0,1.0,9.0,0.0,0.0,0.0,0.0,0.9399490579086753,0.012929976531647012,0.5909642207398423,0.016536126700515706,0.9834638732994844,0.40903577926015766,0.5197192600232046,0.5909642207398423,0.5259971936512929,0.5302670987485597,0.9689317830822272,0.62029177973649,0.15793130059348698,0.5909642207398423,19.97,84.862,17.619332999999997,74.925596,7894563.0,2.87180864E8,2.87180864E8,65.767131594906,0.7900975217690498,?
output/res50k.family.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 450\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01412012132E7,6596.0,6596.0,3900.0,2696.0,0.0,59.12674348089752,40.87325651910248,0.0,0.5718065025983714,0.003992587547706888,0.057672635433121,43.23180796234191,84.91197029436384,40186.329783725145,88178.13264731354,-47991.8028635884,6.092530288618124,13.368425204262211,-7.275894915644087,20867.338294381738,3.1636352781051755,337578.1445041776,0.0,0.0,0.0,0.0,1.0,6587.0,1.0,9.0,0.0,0.0,0.0,0.0,0.9588920938548994,0.021116524592172444,0.5912674348089751,0.01548136136138462,0.9845186386386153,0.40873256519102485,0.5304844285958795,0.5912674348089751,0.5283188634747463,0.5334270229079704,0.9705630559168476,0.6185736429990012,0.16539299752984224,0.5912674348089751,15.422,76.768,15.112324000000001,75.051457,7891527.0,2.87180864E8,2.87180864E8,65.6913280776228,0.7657968726878316,?
