Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
output/ibol.species.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012055E7,398.0,398.0,342.0,56.0,0.0,85.92964824120602,14.07035175879397,0.0,0.8574370914301065,0.007868730640165994,0.05342696005728705,39.43062579783074,53.49282839956765,2589.244250640264,1500.054771235159,1089.189479405105,6.505638820704181,3.7689818372742687,2.736656983429912,2164.4791219243034,5.438389753578652,33176.737309910946,1.0,6.0,0.015306122448979591,6.0,0.9846938775510204,386.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.7016743822995892,1.0,1.0,0.8592964824120602,0.0016430915361334872,0.9983569084638664,0.1407035175879397,0.8833542713567838,0.8592964824120602,0.8540340946529499,0.8611753064175922,0.9968430138467925,0.9433562643615437,0.8406021916891481,0.8592964824120602,3.628,0.236,1.431073,0.177031,5492647.0,1.6097152E7,1.6097152E7,98.99497487437186,13.395259123902365,?
output/ibol.species.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012055E7,398.0,398.0,328.0,70.0,0.0,82.41206030150754,17.587939698492463,0.0,0.821665183743751,0.008154346636374288,0.05596960489583231,40.861862674955084,56.04090537948373,2587.3745246531234,6937.015176816289,-4349.640652163165,6.50094101671639,17.429686373910272,-10.928745357193883,2072.2756669049854,5.206722781168305,31741.935666753052,1.0,7.0,0.0076726342710997444,3.0,0.9923273657289002,388.0,0.0,0.0,0.7,1.0,0.8235294117647058,0.8334441529042184,1.0,1.0,0.8241206030150754,0.002643669918267442,0.9973563300817323,0.17587939698492464,0.8625210216918762,0.8241206030150754,0.8172070980668044,0.8278401973770348,0.9863858651441514,0.8825522873699844,0.8076618512217383,0.8241206030150754,1.095,0.105,0.7189840000000001,0.098289,5426967.0,1.6097152E7,1.6097152E7,96.73366834170854,14.907872696817439,?
output/res50k.family.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012055E7,5920.0,5920.0,4253.0,1667.0,0.0,71.84121621621621,28.158783783783782,0.0,0.7033600085607612,0.004840867345455331,0.04751130452550723,48.49395487029375,67.28551907889354,35555.1863913195,434149.5833784621,-398594.3969871426,6.005943647182348,73.33607827338888,-67.33013462620653,24949.162753406115,4.214385600237519,409457.7929524712,0.1111111111111111,1.0,0.0,0.0,1.0,5911.0,0.8888888888888888,8.0,1.0,0.1111111111111111,0.19999999999999998,0.33310799389008194,0.8711347957668377,0.3596040945809805,0.7184121621621622,0.021132914272371538,0.9788670857276284,0.28158783783783786,0.7137406588151974,0.7184121621621622,0.6947154870632674,0.6933341695398346,0.9411109226044503,0.7094881545878536,0.5986579857993328,0.7184121621621622,31.943,2.074,16.976125,1.751051,6.0919451E7,2.57863097E8,2.57863097E8,90.27027027027027,3.265649068757691,?
output/res50k.family.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012056E7,5920.0,5920.0,4124.0,1796.0,0.0,69.66216216216216,30.33783783783784,0.0,0.6797289851365226,0.0049520616518371734,0.04855387688636985,49.60785684089341,68.76095284877874,35553.04133750599,427071.7453838374,-391518.7040463314,6.005581307011147,72.14049753105361,-66.13491622404247,24624.523954749544,4.159547965329315,404100.6139800698,0.3333333333333333,3.0,5.075283369988157E-4,3.0,0.9994924716630011,5908.0,0.6666666666666666,6.0,0.5,0.3333333333333333,0.4,0.4075232960438311,0.7036692419030433,0.24043770883559618,0.6966216216216217,0.02425793400417529,0.9757420659958246,0.3033783783783784,0.6946803545178648,0.6966216216216217,0.6681795497243846,0.66813318949983,0.9356852908419409,0.6833953728342367,0.580483121761808,0.6966216216216217,30.268,1.96,15.257466,1.623218,6.0384367E7,2.57863097E8,2.57863097E8,90.23648648648648,3.371201512393034,?
output/res50k.genus.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012057E7,4038.0,4039.0,2971.0,1068.0,0.0,73.55781133944046,26.442188660559545,0.0,0.7337080570244087,0.0018875996582558574,0.02946474205825172,44.23627190834949,63.801965601646835,33119.93392090651,503197.60823980765,-470077.67431890115,8.2000331569464,124.5847012230274,-116.38466806608099,25140.286044398385,6.2243837693484485,302650.6496496274,1.0,13.0,4.967709885742673E-4,2.0,0.9995032290114257,4024.0,0.0,0.0,0.8666666666666667,1.0,0.9285714285714286,0.9307180732154621,1.0,1.0,0.7355781133944046,0.0017397685502371864,0.9982602314497617,0.26442188660559546,0.7394487262484608,0.7355781133944046,0.7189724014543418,0.7265810988705389,0.9395814427697214,0.7639762521412031,0.6371311251426234,0.7355781133944046,24.273,1.433,8.081466,1.240741,1.16348413E8,1.75665082E8,1.75708535E8,87.19980193117108,1.2978608778997065,?
output/res50k.genus.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012057E7,4039.0,4038.0,3006.0,1032.0,0.0,74.44279346210996,25.557206537890046,0.0,0.7425825520044935,0.0018584348593475599,0.028923596174776703,43.552793134320616,62.62972588267121,33113.353105814705,487151.1584135166,-454037.80530770187,8.200434152009585,120.64169351498677,-112.44125936297718,25197.687375541234,6.24014050904934,303358.8597405397,1.0,14.0,2.4850894632206757E-4,1.0,0.9997514910536779,4023.0,0.0,0.0,0.9333333333333333,1.0,0.9655172413793104,0.9659717343950078,0.999982249360977,0.9952380952380953,0.7444279346210996,0.0018163311139261127,0.9981836688860749,0.2555720653789004,0.7473484906177728,0.7444279346210996,0.7281699700990809,0.7353733480147087,0.9414212970805358,0.7797887218557211,0.6508419018216095,0.7444279346210996,20.073,1.282,7.671962000000001,1.26237,1.17713752E8,1.75708535E8,1.75665082E8,87.36998514115899,1.3523352188543662,?
output/ibol.species.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01412012057E7,398.0,398.0,50.0,348.0,0.0,12.56281407035176,87.43718592964824,0.0,0.09501718437593924,0.017662482881182603,0.1327940391214094,88.50763674556418,132.9577565257366,2589.244250640264,84666.77953187819,-82077.53528123793,6.505638820704181,212.73060183888992,-206.22496301818575,285.1476976412722,0.7164515016112367,4370.691388679168,0.0,0.0,0.0,0.0,1.0,392.0,1.0,6.0,0.0,0.0,0.0,0.0,0.4872448979591837,0.017600418459641762,0.12562814070351758,0.03187814070351759,0.9681218592964824,0.8743718592964824,0.09683778006052361,0.12562814070351758,0.09522536695636237,0.09488045151874108,0.8506061809379806,0.2818353803247314,0.06857327070093026,0.12562814070351758,0.769,3.123,0.744089,3.062494,8254572.0,1.6097152E7,1.6097152E7,13.06532663316583,1.017714836810308,?
output/ibol.species.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01412012057E7,398.0,398.0,46.0,352.0,0.0,11.557788944723619,88.44221105527639,0.0,0.08642377844002896,0.01786615696786806,0.13366049924353213,89.52825837617571,133.83077127348287,2587.3745246531234,87170.64030180579,-84583.26577715267,6.50094101671639,219.02170930101957,-212.5207682843032,251.7500917336383,0.6325379189287395,3856.164188736149,0.0,0.0,0.0,0.0,1.0,391.0,1.0,7.0,0.0,0.0,0.0,0.0,0.773109243697479,0.04086391710733433,0.11557788944723618,0.029863603732950467,0.9701363962670495,0.8844221105527639,0.09412817512218627,0.11557788944723618,0.08786525218686023,0.08840521492407814,0.8248501219076937,0.3039429041615985,0.05475923253701031,0.11557788944723618,0.722,3.119,0.711789,3.003447,8302460.0,1.6097152E7,1.6097152E7,11.557788944723619,1.0101010101010035,?
output/res50k.family.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01412012059E7,5920.0,5920.0,2320.0,3600.0,0.0,39.189189189189186,60.810810810810814,0.0,0.3333490570198638,0.006312678061484496,0.07698215516578685,63.23799087610164,109.02214371657679,35555.1863913195,613368.7734548491,-577813.5870635296,6.005943647182348,103.60959011061641,-97.60364646343406,10225.57098283833,1.727292395749718,167818.8469767469,0.0,0.0,0.0,0.0,1.0,5911.0,1.0,9.0,0.0,0.0,0.0,0.0,0.3143198180416925,0.0011772834256599347,0.3918918918918919,0.06733554548177915,0.9326644545182208,0.6081081081081081,0.3224127612017097,0.3918918918918919,0.3036041500435693,0.30144357162961877,0.83285537479557,0.3859563326623891,0.07004668968161833,0.3918918918918919,16.099,84.841,14.488532,82.844786,1.6947902E7,2.57863097E8,2.57863097E8,41.21621621621622,0.6542326004760807,?
output/res50k.family.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 600\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0141201210100003E7,5920.0,5920.0,2259.0,3661.0,0.0,38.15878378378378,61.84121621621622,0.0,0.3190955031993977,0.006417132130911859,0.07788231228360178,64.28437173460294,110.29525026846918,35553.04133750599,619608.7297620012,-584055.6884244952,6.005581307011147,104.66363678412182,-98.65805547711066,9899.84925739289,1.6722718340190694,162461.42140956954,0.0,0.0,0.0,0.0,1.0,5911.0,1.0,9.0,0.0,0.0,0.0,0.0,0.3209834771330288,0.0013602826906496182,0.38158783783783784,0.07239640695950424,0.9276035930404959,0.6184121621621622,0.3285074289614291,0.38158783783783784,0.2956953961566678,0.2941612400933696,0.8181651379771016,0.36784377696138193,0.07078684846342109,0.38158783783783784,14.783,87.404,14.296687,82.85589999999999,1.6936726E7,2.57863097E8,2.57863097E8,39.86486486486486,0.6418043691359357,?
